Sex,Age,Height,Weight,NOC,Year,Medal,sport_en
1,23.0,162.0,56.0,4,2004,3.0,21
1,27.0,162.0,56.0,4,2008,1.0,21
1,27.0,162.0,56.0,4,2008,1.0,21
0,24.0,174.0,65.0,4,2012,1.0,42
0,24.0,174.0,65.0,4,2012,1.0,42
0,28.0,174.0,65.0,4,2016,2.0,42
0,28.0,174.0,65.0,4,2016,1.0,42
0,18.0,164.0,50.0,4,2012,3.0,40
0,21.0,175.0,65.0,4,2012,1.0,3
0,22.0,161.0,58.0,4,2012,1.0,49
0,33.0,179.0,85.0,4,2012,3.0,2
1,18.0,173.0,65.0,4,2002,3.0,34
1,26.0,173.0,71.0,4,2016,3.0,33
1,18.0,193.0,82.0,4,2012,3.0,40
0,22.0,156.0,49.0,4,2004,2.0,49
0,28.0,175.0,70.0,4,2000,3.0,16
0,22.0,171.0,60.0,4,2016,2.0,41
1,20.0,168.0,69.0,4,2008,1.0,49
1,20.0,163.0,60.0,4,2016,3.0,21
1,24.0,177.0,70.0,4,2008,1.0,3
1,28.0,177.0,70.0,4,2012,1.0,3
0,24.0,171.0,70.0,4,2016,1.0,47
1,23.0,167.0,63.0,4,2012,1.0,49
0,26.0,168.0,65.0,4,2004,2.0,1
0,21.0,163.0,68.0,4,2000,1.0,49
1,17.0,163.0,53.0,4,2008,1.0,14
1,25.0,163.0,53.0,4,2016,1.0,14
0,17.0,150.0,37.0,4,2000,2.0,21
0,21.0,160.0,69.0,4,2004,1.0,49
0,25.0,160.0,69.0,4,2008,1.0,49
1,24.0,168.0,60.0,4,2000,3.0,42
1,24.0,168.0,60.0,4,2000,2.0,42
0,29.0,160.0,50.0,4,2016,1.0,2
0,18.0,157.0,48.0,4,2016,1.0,14
0,21.0,168.0,50.0,4,2008,3.0,41
0,25.0,168.0,50.0,4,2012,3.0,41
0,25.0,168.0,50.0,4,2012,2.0,41
0,25.0,160.0,54.0,4,2016,1.0,42
0,25.0,178.0,78.0,4,2004,2.0,25
1,21.0,188.0,74.0,4,2004,1.0,2
1,28.0,201.0,102.0,4,2012,3.0,43
0,26.0,188.0,70.0,4,2016,1.0,47
0,21.0,153.0,48.0,4,2000,3.0,21
0,21.0,153.0,48.0,4,2000,1.0,21
0,23.0,186.0,73.0,4,2004,1.0,47
0,27.0,186.0,73.0,4,2008,3.0,47
1,21.0,162.0,61.0,4,2016,3.0,21
0,28.0,165.0,60.0,4,2010,3.0,12
0,24.0,159.0,57.0,4,2000,3.0,25
1,24.0,175.0,72.0,4,2010,3.0,19
0,19.0,181.0,70.0,4,2008,1.0,40
1,17.0,150.0,56.0,4,2008,1.0,49
1,25.0,150.0,56.0,4,2016,1.0,49
1,19.0,170.0,58.0,4,2008,1.0,45
1,23.0,170.0,58.0,4,2012,3.0,45
1,21.0,175.0,77.0,4,2012,2.0,49
1,27.0,172.0,77.0,4,2012,1.0,49
1,32.0,172.0,77.0,4,2016,2.0,49
0,22.0,160.0,45.0,4,2016,3.0,2
0,23.0,175.0,65.0,4,2012,2.0,40
1,22.0,175.0,85.0,4,2008,1.0,49
